title,release date,artist name,genre
Top Gun: Maverick (Music From The Motion Picture),2022-05-27,Lady Gaga,"['art pop', 'dance pop', 'pop']"
ARTPOP,2013-11-11,Lady Gaga,"['art pop', 'dance pop', 'pop']"
Un Verano Sin Ti,2022-05-06,Bad Bunny,"['reggaeton', 'trap latino']"
LOYAL (feat. Drake and Bad Bunny) [Remix],2020-02-07,Bad Bunny,"['reggaeton', 'trap latino']"
LEGENDADDY,2022-03-25,Daddy Yankee,"['latin hip hop', 'reggaeton', 'trap latino']"
Los Homerun-es,2003-09-23,Daddy Yankee,"['latin hip hop', 'reggaeton', 'trap latino']"
Justice (The Complete Edition),2021-10-08,Justin Bieber,"['canadian pop', 'pop']"
Under The Mistletoe,2011-01-01,Justin Bieber,"['canadian pop', 'pop']"
Better Mistakes,2021-05-07,Bebe Rexha,"['dance pop', 'pop', 'post-teen pop', 'uk pop']"
Chain My Heart,2021-06-11,Bebe Rexha,"['dance pop', 'pop', 'post-teen pop', 'uk pop']"
= (Tour Edition),2022-05-27,Ed Sheeran,"['pop', 'uk pop']"
x (Wembley Edition),2015-11-13,Ed Sheeran,"['pop', 'uk pop']"
Happier Than Ever,2021-07-30,Billie Eilish,"['art pop', 'electropop', 'pop']"
COPYCAT (Sofi Tukker Remix),2018-01-12,Billie Eilish,"['art pop', 'electropop', 'pop']"
Shang-Chi and The Legend of The Ten Rings: The Album,2021-09-03,DJ Snake,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'pop rap']"
Ring The Alarm,2021-07-23,DJ Snake,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'pop rap']"
42,2021-04-15,Sech,"['panamanian pop', 'reggaeton', 'trap latino']"
Somos Iguales,2021-06-04,Sech,"['panamanian pop', 'reggaeton', 'trap latino']"
World Of Walker,2021-11-26,Alan Walker,['electro house']
Paradise,2021-10-01,Alan Walker,['electro house']
Sorry 4 The Wait,2022-01-14,Lil Wayne,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
Loosing Myself,2014-01-01,Lil Wayne,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
Twelve Carat Toothache (Deluxe),2022-06-07,Post Malone,"['dfw rap', 'melodic rap', 'rap']"
"I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby)",2021-04-28,Post Malone,"['dfw rap', 'melodic rap', 'rap']"
Dharma +,2022-07-29,Sebastian Yatra,"['colombian pop', 'reggaeton colombiano']"
Dharma,2022-01-28,Sebastian Yatra,"['colombian pop', 'reggaeton colombiano']"
Curtain Call 2,2022-08-05,Eminem,"['detroit hip hop', 'hip hop', 'rap']"
The Marshall Mathers LP2 (Deluxe),2013-01-01,Eminem,"['detroit hip hop', 'hip hop', 'rap']"
Red (Taylor's Version),2021-11-12,Taylor Swift,['pop']
Taylor Swift Karaoke: 1989 (Deluxe),2015-02-01,Taylor Swift,['pop']
FATHER OF 4,2019-02-22,Offset,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Chrome Hearts,2021-11-15,Offset,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
SAVAGE MODE II [CHOPPED NOT SLOPPED],2020-10-19,21 Savage,"['atl hip hop', 'rap', 'trap']"
Run,2022-06-24,21 Savage,"['atl hip hop', 'rap', 'trap']"
ESQUEMAS,2022-05-13,Becky G,"['latin viral pop', 'pop', 'rap latina', 'reggaeton']"
You Belong (from Spirit Untamed),2021-05-21,Becky G,"['latin viral pop', 'pop', 'rap latina', 'reggaeton']"
Divinely Uninspired To A Hellish Extent (Extended Edition),2019-11-22,Lewis Capaldi,"['pop', 'uk pop']"
Grace (Acoustic),2018-11-16,Lewis Capaldi,"['pop', 'uk pop']"
Shockwave,2021-06-11,Marshmello,"['brostep', 'dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']"
Preached,2021-10-29,Marshmello,"['brostep', 'dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']"
The Love & Sex Tape (Deluxe Edition),2022-08-19,Maluma,"['reggaeton', 'reggaeton colombiano', 'trap latino']"
Sukutubla,2021-10-14,Maluma,"['reggaeton', 'reggaeton colombiano', 'trap latino']"
Infinity,2021-08-27,Nicky Jam,"['latin hip hop', 'reggaeton', 'trap latino']"
Campeona (feat. Nicky Jam),2022-05-27,Nicky Jam,"['latin hip hop', 'reggaeton', 'trap latino']"
Homerun,2019-05-23,Paulo Londra,"['argentine hip hop', 'trap argentino', 'trap latino']"
Dímelo,2018-05-08,Paulo Londra,"['argentine hip hop', 'trap argentino', 'trap latino']"
Breezy (Deluxe),2022-07-08,Chris Brown,"['dance pop', 'pop', 'r&b']"
X (Expanded Edition),2014-09-16,Chris Brown,"['dance pop', 'pop', 'r&b']"
These Things Happen Too (Deluxe),2021-09-24,G-Eazy,"['indie pop rap', 'oakland hip hop', 'pop', 'pop rap', 'rap']"
The Announcement (Sex Drugs & Rock and Roll),2021-09-08,G-Eazy,"['indie pop rap', 'oakland hip hop', 'pop', 'pop rap', 'rap']"
Mr. Morale & The Big Steppers,2022-05-13,Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
"good kid, m.A.A.d city",2013-01-01,Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
LOOK AT ME: THE ALBUM,2022-06-10,XXXTENTACION,"['emo rap', 'miami hip hop']"
RUN IT BACK!,2019-06-12,XXXTENTACION,"['emo rap', 'miami hip hop']"
Sentio,2022-04-29,Martin Garrix,"['dance pop', 'dutch edm', 'edm', 'electro house', 'pop', 'pop dance', 'progressive house', 'tropical house']"
Good Morning,2022-04-12,Martin Garrix,"['dance pop', 'dutch edm', 'edm', 'electro house', 'pop', 'pop dance', 'progressive house', 'tropical house']"
"If I Can’t Have Love, I Want Power (Deluxe)",2022-08-31,Halsey,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop']"
So Good (Jax Jones Remix),2022-07-22,Halsey,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop']"
Las Leyendas Nunca Mueren,2021-11-26,Anuel AA,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino']"
23 Preguntas,2021-08-23,Anuel AA,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino']"
An Evening With Silk Sonic,2021-11-12,Bruno Mars,"['dance pop', 'pop']"
Versace On The Floor (Bruno Mars vs. David Guetta),2017-06-27,Bruno Mars,"['dance pop', 'pop']"
Festa das Patroas 35%,2021-10-14,Marília Mendonça,"['arrocha', 'sertanejo']"
Motel Afrodite,2021-09-21,Marília Mendonça,"['arrocha', 'sertanejo']"
JACKBOYS,2019-12-27,Travis Scott,"['hip hop', 'rap', 'slap house']"
FRANCHISE (feat. Young Thug & M.I.A.),2020-09-25,Travis Scott,"['hip hop', 'rap', 'slap house']"
D-Day: A Gangsta Grillz Mixtape,2022-03-31,J. Cole,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
Cole World: The Sideline Story,2011-09-27,J. Cole,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
Back For Everything,2022-02-25,Kodak Black,"['florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'rap', 'trap']"
Heart of the Projects,2014-12-25,Kodak Black,"['florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'rap', 'trap']"
Motordrome (The Dødsdrom Edition),2022-08-12,MØ,"['dance pop', 'danish pop', 'electropop', 'pop', 'tropical house', 'uk pop']"
Bullet with Butterfly Wings (Mixed),2019-10-23,MØ,"['dance pop', 'danish pop', 'electropop', 'pop', 'tropical house', 'uk pop']"
Golden Hour,2020-05-29,Kygo,"['edm', 'pop', 'pop dance', 'tropical house']"
Freedom,2020-04-17,Kygo,"['edm', 'pop', 'pop dance', 'tropical house']"
Regalo de Madre (Live),2022-01-05,Natti Natasha,"['latin hip hop', 'latin pop', 'rap latina', 'reggaeton', 'trap latino']"
Tanto Que Me Gusta,2020-12-11,Natti Natasha,"['latin hip hop', 'latin pop', 'rap latina', 'reggaeton', 'trap latino']"
Wonder (Deluxe),2020-12-07,Shawn Mendes,"['canadian pop', 'dance pop', 'pop', 'viral pop']"
KESI (Remix),2021-07-14,Shawn Mendes,"['canadian pop', 'dance pop', 'pop', 'viral pop']"
