genre,length,title,release date,album name,artist name
"['art pop', 'dance pop', 'pop']",150666,Main Titles (You’ve Been Called Back to Top Gun),2022-05-27,Top Gun: Maverick (Music From The Motion Picture),Lady Gaga
"['art pop', 'dance pop', 'pop']",215573,Danger Zone,2022-05-27,Top Gun: Maverick (Music From The Motion Picture),Lady Gaga
"['art pop', 'dance pop', 'pop']",181053,Darkstar,2022-05-27,Top Gun: Maverick (Music From The Motion Picture),Lady Gaga
"['art pop', 'dance pop', 'pop']",114760,Great Balls Of Fire - Live,2022-05-27,Top Gun: Maverick (Music From The Motion Picture),Lady Gaga
"['art pop', 'dance pop', 'pop']",346346,You’re Where You Belong / Give ‘Em Hell,2022-05-27,Top Gun: Maverick (Music From The Motion Picture),Lady Gaga
"['art pop', 'dance pop', 'pop']",148485,I Ain't Worried,2022-05-27,Top Gun: Maverick (Music From The Motion Picture),Lady Gaga
"['art pop', 'dance pop', 'pop']",306026,Dagger One Is Hit / Time To Let Go,2022-05-27,Top Gun: Maverick (Music From The Motion Picture),Lady Gaga
"['art pop', 'dance pop', 'pop']",274493,Tally Two / What’s The Plan / F-14,2022-05-27,Top Gun: Maverick (Music From The Motion Picture),Lady Gaga
"['art pop', 'dance pop', 'pop']",234493,"The Man, The Legend / Touchdown",2022-05-27,Top Gun: Maverick (Music From The Motion Picture),Lady Gaga
"['art pop', 'dance pop', 'pop']",167306,Penny Returns - Interlude,2022-05-27,Top Gun: Maverick (Music From The Motion Picture),Lady Gaga
"['art pop', 'dance pop', 'pop']",225280,Hold My Hand,2022-05-27,Top Gun: Maverick (Music From The Motion Picture),Lady Gaga
"['art pop', 'dance pop', 'pop']",148933,Top Gun Anthem,2022-05-27,Top Gun: Maverick (Music From The Motion Picture),Lady Gaga
"['art pop', 'dance pop', 'pop']",235733,Aura,2013-11-11,ARTPOP,Lady Gaga
"['art pop', 'dance pop', 'pop']",233720,Venus,2013-11-11,ARTPOP,Lady Gaga
"['art pop', 'dance pop', 'pop']",232666,G.U.Y.,2013-11-11,ARTPOP,Lady Gaga
"['art pop', 'dance pop', 'pop']",214640,Sexxx Dreams,2013-11-11,ARTPOP,Lady Gaga
"['art pop', 'dance pop', 'pop']",228040,Jewels N' Drugs,2013-11-11,ARTPOP,Lady Gaga
"['art pop', 'dance pop', 'pop']",199786,MANiCURE,2013-11-11,ARTPOP,Lady Gaga
"['art pop', 'dance pop', 'pop']",247533,ARTPOP,2013-11-11,ARTPOP,Lady Gaga
"['art pop', 'dance pop', 'pop']",268600,Swine,2013-11-11,ARTPOP,Lady Gaga
"['art pop', 'dance pop', 'pop']",264960,Donatella,2013-11-11,ARTPOP,Lady Gaga
"['art pop', 'dance pop', 'pop']",239853,Fashion!,2013-11-11,ARTPOP,Lady Gaga
"['art pop', 'dance pop', 'pop']",277800,Mary Jane Holland,2013-11-11,ARTPOP,Lady Gaga
"['dance pop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",223093,Dope,2013-01-01,Hotel California (Deluxe),Tyga
"['art pop', 'dance pop', 'pop']",248706,Gypsy,2013-11-11,ARTPOP,Lady Gaga
"['art pop', 'dance pop', 'pop']",212333,Applause,2013-11-11,ARTPOP,Lady Gaga
"['reggaeton', 'trap latino']",245939,Moscow Mule,2022-05-06,Un Verano Sin Ti,Bad Bunny
"['reggaeton', 'trap latino']",230400,Después de la Playa,2022-05-06,Un Verano Sin Ti,Bad Bunny
"['reggaeton', 'trap latino']",178567,Me Porto Bonito,2022-05-06,Un Verano Sin Ti,Bad Bunny
"['reggaeton', 'trap latino']",243716,Tití Me Preguntó,2022-05-06,Un Verano Sin Ti,Bad Bunny
"['reggaeton', 'trap latino']",176936,Un Ratito,2022-05-06,Un Verano Sin Ti,Bad Bunny
"['reggaeton', 'trap latino']",230704,Yo No Soy Celoso,2022-05-06,Un Verano Sin Ti,Bad Bunny
"['reggaeton', 'trap latino']",237894,Tarot,2022-05-06,Un Verano Sin Ti,Bad Bunny
"['reggaeton', 'trap latino']",173119,Neverita,2022-05-06,Un Verano Sin Ti,Bad Bunny
"['reggaeton', 'trap latino']",198367,La Corriente,2022-05-06,Un Verano Sin Ti,Bad Bunny
"['reggaeton', 'trap latino']",213061,Efecto,2022-05-06,Un Verano Sin Ti,Bad Bunny
"['reggaeton', 'trap latino']",227628,Party,2022-05-06,Un Verano Sin Ti,Bad Bunny
"['reggaeton', 'trap latino']",210989,Aguacero,2022-05-06,Un Verano Sin Ti,Bad Bunny
"['reggaeton', 'trap latino']",176000,Enséñame a Bailar,2022-05-06,Un Verano Sin Ti,Bad Bunny
"['reggaeton', 'trap latino']",258298,Ojitos Lindos,2022-05-06,Un Verano Sin Ti,Bad Bunny
"['reggaeton', 'trap latino']",208615,Dos Mil 16,2022-05-06,Un Verano Sin Ti,Bad Bunny
"['reggaeton', 'trap latino']",201816,El Apagón,2022-05-06,Un Verano Sin Ti,Bad Bunny
"['reggaeton', 'trap latino']",244444,Otro Atardecer,2022-05-06,Un Verano Sin Ti,Bad Bunny
"['reggaeton', 'trap latino']",196412,Un Coco,2022-05-06,Un Verano Sin Ti,Bad Bunny
"['reggaeton', 'trap latino']",339611,Andrea,2022-05-06,Un Verano Sin Ti,Bad Bunny
"['reggaeton', 'trap latino']",180929,Me Fui de Vacaciones,2022-05-06,Un Verano Sin Ti,Bad Bunny
"['reggaeton', 'trap latino']",148143,Un Verano Sin Ti,2022-05-06,Un Verano Sin Ti,Bad Bunny
"['reggaeton', 'trap latino']",139041,Agosto,2022-05-06,Un Verano Sin Ti,Bad Bunny
"['reggaeton', 'trap latino']",250533,Callaita,2022-05-06,Un Verano Sin Ti,Bad Bunny
"['reggaeton', 'trap latino']",281119,LOYAL (feat. Drake and Bad Bunny) - Remix,2020-02-07,LOYAL (feat. Drake and Bad Bunny) [Remix],Bad Bunny
"['latin hip hop', 'reggaeton', 'trap latino']",48520,LEGENDADDY,2022-03-25,LEGENDADDY,Daddy Yankee
"['latin hip hop', 'reggaeton', 'trap latino']",194515,CAMPEÓN,2022-03-25,LEGENDADDY,Daddy Yankee
"['latin hip hop', 'reggaeton', 'trap latino']",163680,REMIX,2022-03-25,LEGENDADDY,Daddy Yankee
"['latin hip hop', 'reggaeton', 'trap latino']",204126,PASATIEMPO,2022-03-25,LEGENDADDY,Daddy Yankee
"['latin hip hop', 'reggaeton', 'trap latino']",248768,RUMBATÓN,2022-03-25,LEGENDADDY,Daddy Yankee
"['latin hip hop', 'reggaeton', 'trap latino']",192477,X ÚLTIMA VEZ,2022-03-25,LEGENDADDY,Daddy Yankee
"['latin hip hop', 'reggaeton', 'trap latino']",210333,PARA SIEMPRE,2022-03-25,LEGENDADDY,Daddy Yankee
"['latin hip hop', 'reggaeton', 'trap latino']",189481,UNO QUITAO Y OTRO PUESTO,2022-03-25,LEGENDADDY,Daddy Yankee
"['latin hip hop', 'reggaeton', 'trap latino']",26422,TRUQUITO - Skit,2022-03-25,LEGENDADDY,Daddy Yankee
"['latin hip hop', 'reggaeton', 'trap latino']",161663,EL ABUSADOR DEL ABUSADOR,2022-03-25,LEGENDADDY,Daddy Yankee
"['latin hip hop', 'reggaeton', 'trap latino']",189226,ENCHULETIAO,2022-03-25,LEGENDADDY,Daddy Yankee
"['latin hip hop', 'reggaeton', 'trap latino']",204520,AGUA,2022-03-25,LEGENDADDY,Daddy Yankee
"['latin hip hop', 'reggaeton', 'trap latino']",191920,ZONA DEL PERREO,2022-03-25,LEGENDADDY,Daddy Yankee
"['latin hip hop', 'reggaeton', 'trap latino']",154493,HOT,2022-03-25,LEGENDADDY,Daddy Yankee
"['latin hip hop', 'reggaeton', 'trap latino']",191533,LA OLA,2022-03-25,LEGENDADDY,Daddy Yankee
"['latin hip hop', 'reggaeton', 'trap latino']",182413,BOMBÓN,2022-03-25,LEGENDADDY,Daddy Yankee
"['latin hip hop', 'reggaeton', 'trap latino']",156786,EL REY DE LO IMPERFECTO,2022-03-25,LEGENDADDY,Daddy Yankee
"['latin hip hop', 'reggaeton', 'trap latino']",195226,IMPARES,2022-03-25,LEGENDADDY,Daddy Yankee
"['latin hip hop', 'reggaeton', 'trap latino']",164446,BLOKE,2022-03-25,LEGENDADDY,Daddy Yankee
"['latin hip hop', 'reggaeton', 'trap latino']",336280,Intro / Segurosqui,2003-09-23,Los Homerun-es,Daddy Yankee
"['latin hip hop', 'reggaeton', 'trap latino']",236666,Musica Killa,2003-09-23,Los Homerun-es,Daddy Yankee
"['latin hip hop', 'reggaeton', 'trap latino']",219106,Gata Gangster,2003-09-23,Los Homerun-es,Daddy Yankee
"['latin hip hop', 'reggaeton', 'trap latino']",200253,Flow Gangsteril,2003-09-23,Los Homerun-es,Daddy Yankee
"['latin hip hop', 'reggaeton', 'trap latino']",169453,Mejor Que Tu Ex - Remix,2003-09-23,Los Homerun-es,Daddy Yankee
"['latin hip hop', 'reggaeton', 'trap latino']",118826,Donde Mi No Vengas,2003-09-23,Los Homerun-es,Daddy Yankee
"['latin hip hop', 'reggaeton', 'trap latino']",84573,Estan Locos,2003-09-23,Los Homerun-es,Daddy Yankee
"['latin hip hop', 'reggaeton', 'trap latino']",90600,Sigan Brincando,2003-09-23,Los Homerun-es,Daddy Yankee
"['latin hip hop', 'reggaeton', 'trap latino']",72013,Me Quedo,2003-09-23,Los Homerun-es,Daddy Yankee
